symbol,company,industry,exchange,trading_volume_and_chartered_capital
A32,CTCP 32,Sản xuất các sản phẩm da và liên quan,UPCoM,6800000
AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,382274496
AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,12346411
AAS,CTCP Chứng khoán SmartInvest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,199999969
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa,Sản xuất các sản phẩm may mặc,HOSE,70819103
AAV,CTCP AAV Group,Phát triển bất động sản,HNX,68987661
ABB,Ngân hàng TMCP An Bình,Trung gian tín dụng và các hoạt động liên quan,UPCoM,1035036762
ABC,CTCP Truyền thông VMG,Viễn thông,UPCoM,20393000
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm và các hoạt động liên quan,UPCoM,51557417
ABR,CTCP Đầu tư Nhãn hiệu Việt,Viễn thông,HOSE,20000000
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,"Sản xuất hóa chất, dược phẩm",HOSE,80000000
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,14387207
ABW,CTCP Chứng khoán An Bình,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,101150000
ACB,Ngân hàng TMCP Á Châu,Trung gian tín dụng và các hoạt động liên quan,HOSE,3884050358
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,104999993
ACE,CTCP Bê tông Ly tâm An Giang,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3050781
ACG,CTCP Gỗ An Cường,Sản xuất các sản phẩm gỗ,HOSE,150787946
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,50159019
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,51000000
ACS,CTCP Xây lắp Thương mại 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4000000
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hỗ trợ vận tải,UPCoM,2177173236
ADC,CTCP Mỹ thuật và Truyền thông,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3977936
ADG,CTCP Clever Group,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,21380521
ADP,CTCP Sơn Á Đông,"Sản xuất hóa chất, dược phẩm",HOSE,23039850
ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,58394727
AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,35000000
AG1,CTCP 28.1,Sản xuất các sản phẩm may mặc,UPCoM,4863386
AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,Sản xuất thực phẩm,UPCoM,28109743
AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Phát triển bất động sản,HOSE,125118368
AGM,CTCP Xuất Nhập khẩu An Giang,Sản xuất thực phẩm,HOSE,18200000
AGP,CTCP Dược phẩm Agimexpharm,"Sản xuất hóa chất, dược phẩm",UPCoM,20664453
AGR,CTCP Chứng khoán Agribank,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,215391309
AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,Sản xuất thực phẩm,UPCoM,10800000
AIC,Tổng Công ty Cổ phần Bảo hiểm Hàng không,Bảo hiểm và các hoạt động liên quan,UPCoM,100000000
ALT,CTCP Văn hóa Tân Bình,Sản xuất các sản phẩm nhựa và cao su,HNX,6172523
ALV,CTCP Xây dựng ALVICO,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5657936
AMC,CTCP Khoáng sản Á Châu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,2850000
AMD,CTCP Đầu tư và Khoáng sản FLC Stone,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",UPCoM,163504874
AME,CTCP Alphanam E&C,"Xây dựng nhà cửa, cao ốc",HNX,65200000
AMP,CTCP Armephaco,Bán buôn hàng lâu bền,UPCoM,13000000
AMS,CTCP Cơ khí Xây dựng AMECC,"Sản xuất thiết bị, máy móc",UPCoM,60000000
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,Sản xuất khác,HNX,131105650
ANT,CTCP Rau quả Thực phẩm An Giang,Sản xuất thực phẩm,UPCoM,14399988
ANV,CTCP Nam Việt,Sản xuất thực phẩm,HOSE,133539625
APC,CTCP Chiếu xạ An Phú,Sản xuất thực phẩm,HOSE,20121395
APF,CTCP Nông sản Thực phẩm Quảng Ngãi,Sản xuất thực phẩm,UPCoM,25936748
APG,CTCP Chứng khoán APG,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,153621942
APH,CTCP Tập đoàn An Phát Holdings,Sản xuất các sản phẩm nhựa và cao su,HOSE,243884268
API,CTCP Đầu tư Châu Á - Thái Bình Dương,Phát triển bất động sản,HNX,84083976
APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,Bán buôn hàng lâu bền,UPCoM,1200000
APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,Sản xuất xăng dầu và than đá,UPCoM,4724632
APS,CTCP Chứng khoán Châu Á Thái Bình Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,83000000
APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,Chăn nuôi,UPCoM,8800000
ARM,CTCP Xuất nhập khẩu Hàng không,Hỗ trợ vận tải,HNX,3111283
ART,CTCP Chứng khoán BOS,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,96922509
ASA,CTCP ASA,Xây dựng công nghiệp nặng và dân dụng,UPCoM,10000000
ASG,CTCP Tập đoàn ASG,Hỗ trợ vận tải,HOSE,75653891
ASM,CTCP Tập đoàn Sao Mai,Sản xuất thực phẩm,HOSE,336526752
ASP,CTCP Tập đoàn Dầu khí An Pha,Phân phối khí đốt thiên nhiên,HOSE,37339929
AST,CTCP Dịch vụ Hàng không Taseco,Hỗ trợ vận tải,HOSE,45000000
ATA,CTCP Ntaco,Sản xuất thực phẩm,UPCoM,11999998
ATB,CTCP An Thịnh,"Xây dựng nhà cửa, cao ốc",UPCoM,13884000
ATG,CTCP An Trường An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,15220000
ATS,CTCP Tập Đoàn Dược Phẩm Atesco,Dịch vụ ăn uống,HNX,3500000
AVC,CTCP Thủy điện A Vương,"Phát, truyền tải và phân phối điện năng",UPCoM,75052052
AVF,CTCP Việt An,Sản xuất thực phẩm,UPCoM,43338000
B82,CTCP 482,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5000000
BAB,Ngân hàng TMCP Bắc Á,Trung gian tín dụng và các hoạt động liên quan,HNX,833426644
BAF,CTCP Nông nghiệp BAF Việt Nam,Sản xuất thực phẩm,HOSE,143520000
BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,Sản xuất đồ uống và thuốc lá,UPCoM,2000000
BAX,CTCP Thống Nhất,Bất động sản,HNX,8200000
BBC,CTCP Bibica,Sản xuất thực phẩm,HOSE,18752687
BBH,CTCP Bao bì Hoàng Thạch,Sản xuất các sản phẩm nhựa và cao su,UPCoM,2047932
BBM,CTCP Bia Hà Nội - Nam Định,Sản xuất đồ uống và thuốc lá,UPCoM,2000000
BBS,CTCP VICEM Bao bì Bút Sơn,Sản xuất các sản phẩm nhựa và cao su,HNX,6000000
BBT,CTCP Bông Bạch Tuyết,Sản xuất khác,UPCoM,9800000
BCA,CTCP B.C.H,Sản xuất các sản phẩm kim loại cơ bản,UPCoM,19000000
BCB,CTCP 397,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,5700000
BCC,CTCP Xi măng Bỉm Sơn,Sản xuất sản phẩm khoáng chất phi kim,HNX,123209812
BCE,CTCP Xây dựng và Giao thông Bình Dương,Phát triển bất động sản,HOSE,35000000
BCF,CTCP Thực phẩm Bích Chi,Sản xuất thực phẩm,HNX,32283180
BCG,CTCP Tập đoàn Bamboo Capital,Xây dựng công nghiệp nặng và dân dụng,HOSE,533467622
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Bất động sản,HOSE,1035000000
BCP,CTCP Dược ENLIE,"Sản xuất hóa chất, dược phẩm",UPCoM,6000000
BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Khách sạn và phòng ở,UPCoM,1800000
BDB,CTCP Sách và Thiết bị Bình Định,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1126474
BDG,CTCP May mặc Bình Dương,Sản xuất các sản phẩm may mặc,UPCoM,24799920
BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,38600000
BDW,CTCP Cấp thoát nước Bình Định,"Nước, chất thải và các hệ thống khác",UPCoM,12410800
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3000000
BEL,CTCP Điện tử Biên Hòa,"Sản xuất các sản phẩm điện tử, vi tính",UPCoM,6000000
BFC,CTCP Phân bón Bình Điền,"Sản xuất hóa chất, dược phẩm",HOSE,57167993
BGW,CTCP Nước sạch Bắc Giang,"Nước, chất thải và các hệ thống khác",UPCoM,18149446
BHA,CTCP Thủy điện Bắc Hà,"Phát, truyền tải và phân phối điện năng",UPCoM,66000000
BHC,CTCP Bê tông Biên Hòa,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4500000
BHG,CTCP Chè Biển Hồ,Trồng trọt,UPCoM,8935643
BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm và các hoạt động liên quan,UPCoM,100000000
BHK,CTCP Bia Hà Nội - Kim Bài,Sản xuất đồ uống và thuốc lá,UPCoM,3986000
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Sản xuất đồ uống và thuốc lá,HOSE,231800000
BHP,CTCP Bia Hà Nội - Hải Phòng,Sản xuất đồ uống và thuốc lá,UPCoM,9179290
BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm và các hoạt động liên quan,HOSE,117276895
BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,5058523816
BIG,CTCP Big Invest Group,Bán buôn hàng lâu bền,UPCoM,5000000
BII,CTCP Louis Land,Bất động sản,UPCoM,57680000
BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Sản xuất hóa chất, dược phẩm",UPCoM,8562000
BKC,CTCP Khoáng sản Bắc Kạn,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,11737728
BKG,CTCP Đầu tư BKG Việt Nam,Sản xuất các sản phẩm gỗ,HOSE,68199983
BKH,CTCP Bánh mứt kẹo Hà Nội,Sản xuất thực phẩm,UPCoM,1750000
BLF,CTCP Thủy sản Bạc Liêu,Sản xuất thực phẩm,HNX,11500000
BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm và các hoạt động liên quan,UPCoM,60000000
BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,5000000
BLT,CTCP Lương thực Bình Định,Sản xuất thực phẩm,UPCoM,4000000
BLW,CTCP Cấp nước Bạc Liêu,"Nước, chất thải và các hệ thống khác",UPCoM,11168800
BMC,CTCP Khoáng sản Bình Định,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,12392630
BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ quản lý và tái chế chất thải,UPCoM,2753280
BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Trạm xăng,UPCoM,15848063
BMG,CTCP May Bình Minh,Sản xuất các sản phẩm may mặc,UPCoM,5292000
BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm và các hoạt động liên quan,HOSE,120585408
BMJ,CTCP Khoáng sản Miền Đông AHP,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,104999978
BMN,CTCP 715,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2750000
BMP,CTCP Nhựa Bình Minh,Sản xuất các sản phẩm nhựa và cao su,HOSE,81860938
BMS,CTCP Chứng khoán Bảo Minh,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,64647613
BMV,CTCP Bột mỳ Vinafood 1,Sản xuất thực phẩm,UPCoM,24200000
BNA,CTCP Đầu tư Sản xuất Bảo Ngọc,Sản xuất thực phẩm,HNX,24999855
BNW,CTCP Nước sạch Bắc Ninh,"Nước, chất thải và các hệ thống khác",UPCoM,37549391
BOT,CTCP BOT Cầu Thái Hà,Xây dựng công nghiệp nặng và dân dụng,UPCoM,59246800
BPC,CTCP VICEM Bao bì Bỉm Sơn,Sản xuất các sản phẩm nhựa và cao su,HNX,3800000
BQB,CTCP Bia Hà Nội - Quảng Bình,Sản xuất đồ uống và thuốc lá,UPCoM,5800000
BRC,CTCP Cao su Bến Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,12374997
BRR,CTCP Cao su Bà Rịa,"Sản xuất hóa chất, dược phẩm",UPCoM,112500000
BRS,CTCP Dịch vụ Đô thị Bà Rịa,"Nước, chất thải và các hệ thống khác",UPCoM,4541950
BSA,CTCP Thủy điện Buôn Đôn,"Phát, truyền tải và phân phối điện năng",UPCoM,66850975
BSC,CTCP Dịch vụ Bến Thành,Kho bãi,HNX,3150747
BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân",Sản xuất đồ uống và thuốc lá,UPCoM,3000000
BSG,CTCP Xe khách Sài Gòn,Vận tải trung chuyển và vận tải hành khách bằng đường bộ,UPCoM,60000000
BSH,CTCP Bia Sài Gòn - Hà Nội,Sản xuất đồ uống và thuốc lá,UPCoM,18000000
BSI,CTCP Chứng khoán BIDV,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,202783127
BSL,CTCP Bia Sài Gòn - Sông Lam,Sản xuất đồ uống và thuốc lá,UPCoM,45000000
BSP,CTCP Bia Sài Gòn - Phú Thọ,Sản xuất đồ uống và thuốc lá,UPCoM,12500000
BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,Sản xuất đồ uống và thuốc lá,UPCoM,45000000
BSR,CTCP Lọc hóa Dầu Bình Sơn,Sản xuất xăng dầu và than đá,UPCoM,244119369
BST,CTCP Sách và Thiết bị Bình Thuận,Công nghiệp xuất bản - Ngoại trừ internet,HNX,1100000
BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,"Sản xuất hóa chất, dược phẩm",UPCoM,5250000
BT6,CTCP Beton 6,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,32993550
BTB,CTCP Bia Hà Nội - Thái Bình,Sản xuất đồ uống và thuốc lá,UPCoM,7691226
BTD,CTCP Bê tông Ly tâm Thủ Đức,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,6414100
BTG,CTCP Bao bì Tiền Giang,Sản xuất giấy,UPCoM,1190000
BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,"Sản xuất trang thiết bị, dụng cụ điện",UPCoM,25000000
BTN,CTCP Đầu tư Bitco Bình Định,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,4465570
BTP,CTCP Nhiệt điện Bà Rịa,"Phát, truyền tải và phân phối điện năng",HOSE,60485600
BTS,CTCP Xi măng VICEM Bút Sơn,Sản xuất sản phẩm khoáng chất phi kim,HNX,123559858
BTT,CTCP Thương mại Dịch vụ Bến Thành,Của hàng hàng hóa tổng hợp,HOSE,13500000
BTU,CTCP Công trình Đô thị Bến Tre,Dịch vụ quản lý và tái chế chất thải,UPCoM,3600000
BTV,CTCP Dịch vụ Du lịch Bến Thành,Khách sạn và phòng ở,UPCoM,25000000
BTW,CTCP Cấp nước Bến Thành,"Nước, chất thải và các hệ thống khác",HNX,9360000
BVB,Ngân hàng TMCP Bản Việt,Trung gian tín dụng và các hoạt động liên quan,UPCoM,501680000
BVG,CTCP Group Bắc Việt,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,9750948
BVH,Tập đoàn Bảo Việt,Bảo hiểm và các hoạt động liên quan,HOSE,742322764
BVL,CTCP BV Land,Phát triển bất động sản,UPCoM,57312800
BVN,CTCP Bông Việt Nam,"Sản xuất sợi, vải",UPCoM,5000000
BVS,CTCP Chứng khoán Bảo Việt,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HNX,72233937
BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,"Nước, chất thải và các hệ thống khác",UPCoM,2700000
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,"Nước, chất thải và các hệ thống khác",HOSE,192920000
BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,"Nước, chất thải và các hệ thống khác",UPCoM,90000000
BXH,CTCP VICEM Bao bì Hải Phòng,Sản xuất các sản phẩm nhựa và cao su,HNX,3012040
C12,CTCP Cầu 12,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4850000
C21,CTCP Thế Kỷ 21,Phát triển bất động sản,UPCoM,19336371
C22,CTCP 22,Sản xuất thực phẩm,UPCoM,3550000
C32,CTCP CIC39,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,15030145
C47,CTCP Xây dựng 47,Xây dựng công nghiệp nặng và dân dụng,HOSE,33039061
C4G,CTCP Tập đoàn CIENCO4,Xây dựng công nghiệp nặng và dân dụng,UPCoM,357300754
C69,CTCP Xây dựng 1369,"Xây dựng nhà cửa, cao ốc",HNX,61799972
C92,CTCP Xây dựng và Đầu tư 492,Xây dựng công nghiệp nặng và dân dụng,UPCoM,5312920
CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,Phát sóng - Ngoại trừ internet,UPCoM,45745876
CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,Sản xuất thực phẩm,UPCoM,8799927
CAG,CTCP Cảng An Giang,Hỗ trợ vận tải,HNX,13800000
CAN,CTCP Đồ hộp Hạ Long,Sản xuất thực phẩm,HNX,5000000
CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,Sản xuất giấy,HNX,10052920
CAR,CTCP Tập đoàn Giáo dục Trí Việt,Dịch vụ giáo dục,UPCoM,3200000
CAT,CTCP Thủy sản Cà Mau,Sản xuất thực phẩm,UPCoM,9748579
CAV,CTCP Dây Cáp điện Việt Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,57600000
CBI,CTCP Gang thép Cao Bằng,Sản xuất các sản phẩm kim loại cơ bản,UPCoM,43006366
CBS,CTCP Mía Đường Cao Bằng,Sản xuất thực phẩm,UPCoM,5291868
CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Xây dựng công nghiệp nặng và dân dụng,UPCoM,358507825
CC4,CTCP Đầu tư và Xây dựng Số 4,"Xây dựng nhà cửa, cao ốc",UPCoM,64000000
CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,Sản xuất thực phẩm,UPCoM,15092326
CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Trạm xăng,HOSE,17743865
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản,HOSE,59581418
CCM,CTCP khoáng sản và Xi măng Cần Thơ,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,6199900
CCP,CTCP Cảng Cửa Cấm Hải Phòng,Hỗ trợ vận tải,UPCoM,2400000
CCR,CTCP Cảng Cam Ranh,Hỗ trợ vận tải,HNX,24501817
CCT,CTCP Cảng Cần Thơ,Hỗ trợ vận tải,UPCoM,28480000
CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,1800000
CDC,CTCP Chương Dương,Phát triển bất động sản,HOSE,21988716
CDG,CTCP Cầu Đuống,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3464995
CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Dịch vụ quản lý và tái chế chất thải,UPCoM,2000000
CDN,CTCP Cảng Đà Nẵng,Hỗ trợ vận tải,HNX,99000000
CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Bán buôn hàng lâu bền,UPCoM,31504975
CDP,CTCP Dược phẩm Trung ương Codupha,Bán buôn hàng tiêu dùng,UPCoM,18270000
CDR,CTCP Xây dựng Cao su Đồng Nai,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2133271
CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,"Sản xuất thiết bị, máy móc",UPCoM,6000000
CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,"Sản xuất thiết bị, máy móc",UPCoM,3800000
CEN,CTCP CENCON Việt Nam,Bán buôn hàng tiêu dùng,UPCoM,21712440
CEO,CTCP Tập đoàn C.E.O,Phát triển bất động sản,HNX,514678760
CET,CTCP HTC Holding,Sản xuất khác,HNX,6050000
CFM,CTCP Đầu tư CFM,Dịch vụ giáo dục,UPCoM,2000000
CFV,CTCP Cà phê Thắng Lợi,Sản xuất thực phẩm,UPCoM,8096000
CGV,CTCP Vinaceglass,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,9499956
CH5,CTCP Xây dựng Số 5 Hà Nội,"Xây dựng nhà cửa, cao ốc",UPCoM,3732450
CHC,CTCP Cẩm Hà,Sản xuất các sản phẩm gỗ,UPCoM,6731596
CHP,CTCP Thủy điện Miền Trung,"Phát, truyền tải và phân phối điện năng",HOSE,146912668
CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,"Xây dựng nhà cửa, cao ốc",UPCoM,28400000
CI5,CTCP Đầu Tư Xây dựng Số 5,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2700000
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Hỗ trợ vận tải,HNX,19709904
CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Bất động sản,UPCoM,1082000
CIG,CTCP COMA 18,Phát triển bất động sản,HOSE,31539947
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Xây dựng công nghiệp nặng và dân dụng,HOSE,284019513
CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4545000
CJC,CTCP Cơ điện Miền Trung,"Sản xuất thiết bị, máy móc",HNX,8000000
CK8,CTCP Cơ khí 120,Kho bãi,UPCoM,3000000
CKA,CTCP Cơ Khí An Giang,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,3286404
CKD,CTCP Cơ khí Đông Anh LICOGI,Sản xuất sản phẩm kim loại tổng hợp,UPCoM,31000000
CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Phát triển bất động sản,HOSE,95259361
CKV,CTCP COKYVINA,Viễn thông,HNX,4050000
CLC,CTCP Cát Lợi,Sản xuất đồ uống và thuốc lá,HOSE,26207583
CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,"Xây dựng nhà cửa, cao ốc",UPCoM,21150000
CLH,CTCP Xi măng La Hiên VVMI,Sản xuất sản phẩm khoáng chất phi kim,HNX,12000000
CLL,CTCP Cảng Cát Lái,Hỗ trợ vận tải,HOSE,34000000
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,11000000
CLW,CTCP Cấp nước Chợ Lớn,"Nước, chất thải và các hệ thống khác",HOSE,13000000
CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Bán buôn hàng tiêu dùng,UPCoM,86600000
CMC,CTCP Đầu tư CMC,Bán buôn hàng lâu bền,HNX,4561050
CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Bán buôn hàng lâu bền,UPCoM,15000000
CMF,CTCP Thực phẩm Cholimex,Sản xuất thực phẩm,UPCoM,8100000
CMG,CTCP Tập đoàn Công nghệ CMC,Công nghiệp xuất bản - Ngoại trừ internet,HOSE,150596032
CMI,CTCP CMISTONE Việt Nam,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,15002500
CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Bán buôn hàng lâu bền,UPCoM,1432578
CMM,CTCP Camimex,Sản xuất thực phẩm,UPCoM,94499998
CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,Sản xuất thực phẩm,UPCoM,4800000
CMP,CTCP Cảng Chân Mây,Hỗ trợ vận tải,UPCoM,32405415
CMS,CTCP Tập Đoàn CMH Việt Nam,Xây dựng công nghiệp nặng và dân dụng,HNX,25452500
CMT,CTCP Công nghệ Mạng và Truyền thông,"Xử lý dữ liệu, hosting và các dịch vụ liên quan",UPCoM,8000000
CMV,CTCP Thương nghiệp Cà Mau,Của hàng hàng hóa tổng hợp,HOSE,18155868
CMW,CTCP Cấp nước Cà Mau,"Nước, chất thải và các hệ thống khác",UPCoM,15534900
CMX,CTCP Camimex Group,Sản xuất thực phẩm,HOSE,101898990
CNA,CTCP Tổng Công ty Chè Nghệ An,Trồng trọt,UPCoM,793917
CNC,CTCP Công nghệ Cao Traphaco,Bán buôn hàng tiêu dùng,UPCoM,11364325
CNG,CTCP CNG Việt Nam,Phân phối khí đốt thiên nhiên,HOSE,35099625
CNN,CTCP Tư vấn Công nghệ Thiết bị và Kiểm Định Xây dựng - Coninco,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",UPCoM,8800000
CNT,CTCP Tập đoàn CNT,Bán buôn hàng tiêu dùng,UPCoM,40015069
COM,CTCP Vật tư Xăng Dầu,Trạm xăng,HOSE,14120628
CPA,CTCP Cà phê Phước An,Trồng trọt,UPCoM,23627990
CPC,CTCP Thuốc sát trùng Cần Thơ,"Sản xuất hóa chất, dược phẩm",HNX,4303050
CPH,CTCP Phục vụ Mai táng Hải Phòng,Dịch vụ chăm sóc thân thể và giặt ủi,UPCoM,4400000
CPI,CTCP Đầu tư Cảng Cái Lân,Hỗ trợ vận tải,UPCoM,36505000
CQN,CTCP Cảng Quảng Ninh,Hỗ trợ vận tải,UPCoM,75049936
CQT,CTCP Xi măng Quán Triều VVMI,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,25000000
CRC,CTCP Create Capital Việt Nam,Sản xuất sản phẩm khoáng chất phi kim,HOSE,30000000
CRE,CTCP Bất động sản Thế Kỷ,Bất động sản,HOSE,463678534
CSC,CTCP Tập đoàn COTANA,"Xây dựng nhà cửa, cao ốc",HNX,31174719
CSI,CTCP Chứng khoán Kiến thiết Việt Nam,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,16800000
CSM,CTCP Công nghiệp Cao su Miền Nam,Sản xuất các sản phẩm nhựa và cao su,HOSE,103626467
CST,CTCP Than Cao Sơn - TKV,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),UPCoM,42846773
CSV,CTCP Hóa chất Cơ bản Miền Nam,"Sản xuất hóa chất, dược phẩm",HOSE,44200000
CT3,CTCP Đầu tư và Xây dựng Công trình 3,Xây dựng công nghiệp nặng và dân dụng,UPCoM,8799849
